ip,time,cpu
102.200.218.193,2023-02-10 14:44:27,29.231906485231363
102.200.218.193,2023-02-10 13:44:27,20.354186242466888
102.200.218.193,2023-02-10 12:44:27,26.713362802704854
102.200.218.193,2023-02-10 11:44:27,10.399340556931797
102.200.218.193,2023-02-10 10:44:27,11.133222743952498
102.200.218.193,2023-02-10 09:44:27,29.631702280315515
102.200.218.193,2023-02-10 08:44:27,37.2686005640627
102.200.218.193,2023-02-10 07:44:27,19.55508285371469
102.200.218.193,2023-02-10 06:44:27,48.20907016980199
102.200.218.193,2023-02-10 05:44:27,12.911686254103689
102.200.218.193,2023-02-10 04:44:27,29.201364875239953
102.200.218.193,2023-02-10 03:44:27,44.04252092972749
102.200.218.193,2023-02-10 02:44:27,37.55169703169474
102.200.218.193,2023-02-10 01:44:27,41.738357883502104
102.200.218.193,2023-02-10 00:44:27,49.624870994990985
102.200.218.193,2023-02-09 23:44:27,30.653519507612316
102.200.218.193,2023-02-09 22:44:27,43.43387220733333
102.200.218.193,2023-02-09 21:44:27,18.009419876418438
102.200.218.193,2023-02-09 20:44:27,13.94043110517303
102.200.218.193,2023-02-09 19:44:27,4.67448611236091
102.200.218.193,2023-02-09 18:44:27,36.99915614362358
102.200.218.193,2023-02-09 17:44:27,40.46266406112739
102.200.218.193,2023-02-09 16:44:27,29.625734755557332
102.200.218.193,2023-02-09 15:44:27,1.7974205323430748
102.200.218.193,2023-02-09 14:44:27,17.558157395911923
102.200.218.193,2023-02-09 13:44:27,21.381305377823246
102.200.218.193,2023-02-09 12:44:27,12.482910684819615
102.200.218.193,2023-02-09 11:44:27,21.66979436305069
102.200.218.193,2023-02-09 10:44:27,23.398823515153506
102.200.218.193,2023-02-09 09:44:27,10.009501246061786
102.200.218.193,2023-02-09 08:44:27,20.837247723386238
102.200.218.193,2023-02-09 07:44:27,39.62244405466278
102.200.218.193,2023-02-09 06:44:27,9.020499621823392
102.200.218.193,2023-02-09 05:44:27,44.69331985058847
102.200.218.193,2023-02-09 04:44:27,38.8200599589105
102.200.218.193,2023-02-09 03:44:27,42.97136211189947
102.200.218.193,2023-02-09 02:44:27,28.776435118102366
102.200.218.193,2023-02-09 01:44:27,1.3696104596445657
102.200.218.193,2023-02-09 00:44:27,32.05198990594714
102.200.218.193,2023-02-08 23:44:27,31.326119561343894
102.200.218.193,2023-02-08 22:44:27,0.48458078012180716
102.200.218.193,2023-02-08 21:44:27,9.881706394577478
102.200.218.193,2023-02-08 20:44:27,39.9118679471232
102.200.218.193,2023-02-08 19:44:27,6.0644020935936185
102.200.218.193,2023-02-08 18:44:27,4.132803177694422
102.200.218.193,2023-02-08 17:44:27,19.86723367540711
102.200.218.193,2023-02-08 16:44:27,6.214385787007082
102.200.218.193,2023-02-08 15:44:27,27.833020030812055
102.200.218.193,2023-02-08 14:44:27,38.72401620104573
102.200.218.193,2023-02-08 13:44:27,8.312763045102734
102.200.218.193,2023-02-08 12:44:27,29.269314699402404
102.200.218.193,2023-02-08 11:44:27,6.373464817017349
102.200.218.193,2023-02-08 10:44:27,3.5578365124695868
102.200.218.193,2023-02-08 09:44:27,39.61447569167276
102.200.218.193,2023-02-08 08:44:27,38.6773669509911
102.200.218.193,2023-02-08 07:44:27,30.88149675544137
102.200.218.193,2023-02-08 06:44:27,22.181794407731882
102.200.218.193,2023-02-08 05:44:27,32.31060711605311
102.200.218.193,2023-02-08 04:44:27,40.52844268290636
102.200.218.193,2023-02-08 03:44:27,23.20989493321145
102.200.218.193,2023-02-08 02:44:27,46.444475018319814
102.200.218.193,2023-02-08 01:44:27,47.40708622816216
102.200.218.193,2023-02-08 00:44:27,11.783801344628774
102.200.218.193,2023-02-07 23:44:27,26.752531627873687
102.200.218.193,2023-02-07 22:44:27,3.3367298211702456
102.200.218.193,2023-02-07 21:44:27,32.464878772392886
102.200.218.193,2023-02-07 20:44:27,27.17583923221686
102.200.218.193,2023-02-07 19:44:27,19.945064249787908
102.200.218.193,2023-02-07 18:44:27,32.240270888593855
102.200.218.193,2023-02-07 17:44:27,36.52394536800771
102.200.218.193,2023-02-07 16:44:27,37.67923796626976
102.200.218.193,2023-02-07 15:44:27,31.147644629070676
102.200.218.193,2023-02-07 14:44:27,46.61723280600062
102.200.218.193,2023-02-07 13:44:27,4.238533277584356
102.200.218.193,2023-02-07 12:44:27,15.928556962088003
102.200.218.193,2023-02-07 11:44:27,11.084825037413642
102.200.218.193,2023-02-07 10:44:27,3.5396155909038773
102.200.218.193,2023-02-07 09:44:27,39.25208703477055
102.200.218.193,2023-02-07 08:44:27,23.034907346109083
102.200.218.193,2023-02-07 07:44:27,5.424381458000827
102.200.218.193,2023-02-07 06:44:27,36.48658167825488
102.200.218.193,2023-02-07 05:44:27,18.587703484052696
102.200.218.193,2023-02-07 04:44:27,34.502758164397
102.200.218.193,2023-02-07 03:44:27,31.422906665078415
